register,jurisdiction,regulator,category,register_anchor_id,entity_name,website,identifier,identifier_type,status,in_dealer_frame,has_licence_number,source_file,source_sha256
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-1061,StoneX International Ltd,,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-1171,SUXXESS FX LTD,,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-174,TF Global Markets Int Ltd,,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-164,TM Trading Limited,,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-180,TopFX Global Ltd,https://www.topfx.com.sc/,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-778,TouchStone Markets Limited,https://www.gold-touch.io,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-880,Trade Quo Global Ltd,https://www.tradequo.com,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-167,Tradeco Limited,http://www.t4trade.com,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-831,Traders' Hub Ltd,https://tradershub.sc/,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
seychelles_securities_dealers,Seychelles,Seychelles FSA,securities-dealer,securities-dealer-766,Tradewill Global Limited,https://www.tradewill.com,,none,,1,0,seychelles_securities_dealers_20260727T044232Z.html,52d319f3653dd58abcd23ac6d9509f06d7c5780765063cb88838dbdf76b468b4
