domain,n_zho_captures_capped,n_captures_capped,has_chinese_presence,n_register_entities,register_entities,jurisdiction,sample_zho_url
tradewill.com,4,53,1,1,Tradewill Global Limited,Seychelles,https://www.tradewill.com/zh_hk/download/guide
tradingsphere.com,0,58,0,1,TOB TRADING LTD,Seychelles,
tradu.com,0,2,0,1,Stratos Systems Limited,Seychelles,
trive.com,2,616,1,1,Trive Global Ltd,Seychelles,https://www.trive.com/int-tw/open-account?create-contract
trustcapital.com,0,4,0,1,Trust Capital Ltd,Seychelles,
ttpmarkets.com,0,0,0,1,TTP Ltd,Seychelles,
unicorntechnologies.io,0,0,0,1,Unicorn Technologies Limited,Seychelles,
valutrades.com,0,18,0,1,Valutrades (Seychelles) Limited,Seychelles,
vantotrade.com,0,131,0,1,V GLOBAL MARKETS LIMITED,Seychelles,
viefinancesey.com,0,5,0,1,VIE FINANCE SEY LTD,Seychelles,
vscapital.io,0,0,0,1,VS Capital Limited,Seychelles,
wbinvest.com,0,8,0,1,LEGACY CAPITAL LTD,Seychelles,
windsorbrokers.com,46,667,1,1,Windsor Brokers International Ltd,Seychelles,https://windsorbrokers.com/zh-hans/company/contact/
xbprime.com,0,1,0,1,Marketfinancials Limited,Seychelles,
xbtfx.io,0,0,0,1,XBTFX (SC) Limited,Seychelles,
xm.com,9,408,1,1,XM (SC) Limited,Seychelles,https://www.xm.com/tw/about
xmtrading.com,0,556,0,1,Tradexfin Limited,Seychelles,
xs.com,200,1000,1,1,XS LTD,Seychelles,https://www.xs.com/zh-Hans/blog/
zfx.com,200,1000,1,1,Zeal Capital Market (Seychelles) Limited,Seychelles,https://www.zfx.com/zh-hans/%E8%AE%A2%E5%8D%95%E6%89%A7%E8%A1%8C%E6%94%BF%E7%AD%96/
zxcm.com,0,92,0,1,ZX Capital Markets Ltd,Seychelles,
